sentiment,message,tweetid
-1,"RT @HarmlessYardDog: 21 kids aged 9 to 20 are suing the Trump over climate change ������

&gt;Leftist are a Disease https://t.co/gdfHOUiK1E",684619
0,@dicapriofdn why don't u preach global warming from your yacht #Hypocrite,979885
1,"RT @RalphNortham: The environment is facing its biggest opponent yet, and it's not climate change—it's Donald Trump. https://t.co/lzrKyqDfki",415546
1,i'm sorry but if you think climate change is a hoax you are a fucking moron lol,915578
2,"RT @GMA: Arctic undergoing rapid ice melt that could speed global warming, new study warns: https://t.co/jll8cn79QP https://t.co/bAtUQNTXcc",776740
-1,Selling global warming as scientific vs government's control of everything by terrifying the public. #earthday… https://t.co/aZUv4iMtcv,126568
0,RT @HenningAkesson: Interested in glaciers and climate change? 2-yr researcher position in regional climate modeling @BjerknesBCCR @UiB htt…,646795
1,RT @TimWattsMP: 'I will not lead a party that is not as committed to effective action on climate change as I am' https://t.co/mP1CPnSnzZ,225886
2,"RT @nytimes: As global warming cooks the U.S. in the decades ahead, not all states will suffer equally https://t.co/2GV056tvEX",85110
2,"As the White House changes course on climate change, California stubbornly presses forward https://t.co/RkuKnTaJGf",709663
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",819344
2,China drills Tibet glaciers for climate change research,580177
-1,"@Revkin1.  I got your point, it is still stupid. It is absurd to make every tornado, hurricane etc result of man made climate change.",133423
2,EPA chief doubts carbon dioxide's role in global warming - BBC News' https://t.co/3IojhsZKDM,666649
0,"Who is bringing the tornadoes and floods. Who is bringing the climate change. God is after America, He is plaguing her
 
#FARRAKHAN #QUOTE",592626
2,EPA chief: Carbon dioxide not 'primary contributor' to climate change https://t.co/YCNxXs1hET,749940
1,"RT @350: In the US? Write a letter to the editor, urge media to connect the dots between climate change &amp; Hurricane Harvey:…",415182
1,We may have even less time to stop global warming than we thought https://t.co/IMQRGKgOlq,427091
0,RT @notlinkolafan: I can fix climate change but you won't like it. https://t.co/41xbjndvnM,574243
1,"RT @NatGeo: By using projections from 21 models, researchers predict how climate change threatens our water resources https://t.co/lO4ojvjg…",127503
2,How climate change could kill Punxsutawney Phil https://t.co/4bI9WeTLEB,796820
2,RT @CNN: Kids are taking the feds -- and possibly Trump -- to court over climate change https://t.co/oGw21W7Skw,46425
1,RT @latimes: Harvey should be a warning to Trump that climate change is a global threat https://t.co/IKaQe3ln23 via…,95753
2,RT @EcoloCYL: .@EP_Environment #CETA contraries direction of our commitments to limit global warming below a temperature rise of 2°C #CETAT…,615078
1,RT @SenSanders: We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. TÃ¢â‚¬Â¦,520994
1,"RT @Matthijs85: 'Before the Flood'
Great documentary on the consequences of climate change with Leonardo DiCaprio
https://t.co/oIO9JZSGSZ |Ã¢â‚¬Â¦",13544
1,RT @WFP: Did you know climate change can increase the risk of food insecurity and malnutrition? https://t.co/BNtWtgiHAW https://t.co/VRHESA…,346864
1,Every insane thing Donald Trump has said about global warming - https://t.co/60ONblWYQK,797293
0,I hope in 2017 people finally learn the difference between global warming and climate change.,487512
1,"RT @JustinTrudeau: Welcome to Ottawa, @Premier_Silver – looking forward to working together to fight climate change &amp; protect our envi… ",790223
1,The tomatoes are still fruiting and flowering in November. Mama's neighbour still thinks climate change is a lie. https://t.co/ggwPf0Jtrv,426704
1,"Polar bear, wild reindeer decline worsening as #climate change continues to melt Arctic ice: @ABC… https://t.co/E33xo7HcNH",644898
1,"Thanks Avery Burdett for backing The Environment: A True Story.
For common sense on climate change you can too, at https://t.co/baO7EnlHVO",574100
2,"RT @Wine_Newz: The #Wine industry in #Europe could be in trouble due to global warming, researchers warn https://t.co/1LErjnPpMI",545
2,"NASA is defiantly communicating climate change science despite Trump’s doubts' https://t.co/E3qtwWYV3Z  @NASAClimate Lift ‘em up, y’all!",924682
2,RT @Fusion: Peru is suffering its worst floods in recent history—and some scientists say global warming is to blame: https://t.co/3EGbsYVNJq,776884
1,RT @Greenpeace: The best way to protect a coral reef is to take action on climate change. Simple. https://t.co/yPb0xQ2IVA https://t.co/YdYq…,287190
0,RT @TheNextWeb: National GeographicÃ¢â‚¬â„¢s climate change documentary with Leonardo DiCaprio is now on YouTube https://t.co/qMsxAyKcjo https://tÃ¢â‚¬Â¦,798960
2,RT @aireguru: California knocks Trump as it extends climate change effort: SAN FRANCISCO (AP) — Gov.… https://t.co/EPBSdMNTT1…,708842
1,"RT @AmyDentata: White supremacy thrives on denial of facts. The same denial that says global warming is a hoax, that vaccines cause autism……",152923
1,RT @1followernodad: Donald Trump once backed urgent climate change initiatives. He doesn't believe anything he's doing.,811340
-1,Hope they get a chance to skip climate change for good. https://t.co/mv7JDUohie,655205
1,"RT @amkmusty: In addition to the fact that it's one of our largest contributors to global warming, it is a shameful loss of an ex…",785601
1,"@danhiscock1998 It's not just global warming (although of course that's massive) but loss of species, water, soil fertility etc etc.",15020
2,Top climate change articles from last 48 hrs https://t.co/DnWNM9EGN0,479440
1,RT @theecoheroes: Government 'tried to bury' its own frightening report on climate change #environment #climatechange #flood https://t.co/7…,726621
-1,RT @DineshDSouza: THOUGHT FOR THE DAY: If gender is a social construct--which is to say 'all in your head'-- maybe climate change is too,408538
1,RT @ab_noble: Bill Gates launches $1B clean energy fund - Showing private investors taking reins on reigning in climate change  https://t.c…,237841
1,RT @frankieboyle: Let's look on the bright side. Maybe climate change will kill off humanity before a Global Fascist government can start tÃ¢â‚¬Â¦,978071
0,@KFB9999 Maybe global warming is messing up its sleep cycle.  @CuntPanda @Globetoppers @Rickagain,602635
1,"Dems come up will stupid bill regarding 'fake news'.How about issues such as climate change, healthcare reform, etc.
https://t.co/jk7EuLDbbn",940241
1,"the first animal exclaimed extinct thanks to the recent, human-caused climate change: the bramble cay melomys",151081
2,UN meeting urges 'highest political commitment' on climate change | via @AFP,505796
1,RT @DanNerdCubed: Trump's put a climate change denier in charge of the EPA? https://t.co/iKRrbXRS4f,884933
1,RT @Jackthelad1947: We need more climate change warriors like Naomi KleinÃ‚ #auspol https://t.co/AwdQoDazNY https://t.co/2k0xc5HDlx,236227
-1,RT @ClimateTruthNow: George Clooney claims that man-made global warming must exist because liberals agree that it exists: https://t.co/5KBJÃ¢â‚¬Â¦,259378
2,RT @AJEnglish: Reindeer are disappearing at an alarming rate in Alaska and Canada due to climate change. https://t.co/efbSqQhKwg,751293
0,"RT @GabrielGrims: Habitat loss, more than climate change, is driving the species extinction crisis. https://t.co/p6M9kuPlHa",348682
0,"RT @RealPeerReview: Why climate change will cause the resurgence of dragons.
https://t.co/yyjWtqlkDg https://t.co/LfI0Wi8as0",693160
0,"RT @CatalyticRxn: Trend is toward increased acceptance of climate change, but acceptance that it's human-caused is flat. #science2016electiÃ¢â‚¬Â¦",92629
1,RT @AnonyPress: 2016 was the year that the United States elected a man who believes that global warming is a Chinese conspiracy,242689
2,RT @clintonkowach: Ethiopia's coffee industry threatened by climate change https://t.co/uhp73Q7Apg #News #Bibleprophecy #Truth #Knowledge #…,284949
1,Come at me with 'climate change isn't real'. https://t.co/SYiqGGcTLJ,678858
1,RT @FastCoExist: Here are 100 totally achievable things we need to do to reverse global warming: https://t.co/Q21K0mLFLH https://t.co/ZTnAY…,449976
2,RT @ClimateCentral: Every Trump cabinet nominee's position on climate change → https://t.co/5TQchTUI3e,308147
1,"RT @McCauley_Lab: Want to know if climate change is real? Ask a fisherman.

https://t.co/NfDAODN2J1 https://t.co/RnNGsSO0SE",84782
1,RT @fonzfranc: highlighted some black leaders in the fight against climate change for @blavity | https://t.co/nTIpOMNSER | ✊����,811030
2,RT @mmcphoto: The real news: #climatechange Record-breaking climate change pushes world into ‘uncharted territory’ https://t.co/bUrdh1Wc6W,368457
1,It snowed in the fucking Sahara desert...try telling me that global warming isn't happening... https://t.co/ph5o2960Fk,979276
1,"RT @AWF_Official: If you want evidence of climate change, just look at Amboseli National Park, says AWF's Fiesta Warinwa. Here's why:… ",271359
2,"Germany, California to tackle climate change together https://t.co/dlb4hHDfgG",262320
2,RT @CNN: President-elect Donald Trump says 'nobody really knows' if climate change is real https://t.co/0GAtmSMVZe https://t.co/i3tOPIFlG2,881920
1,@EmmanuelMacron Your Excellency the President：in response to your great climate change policy，I'm looking forward to discuss with u in depth,907459
-1,Snow in April? Yeah global warming is real,896213
1,"RT @capitalweather: The 5 things you should know about climate change:
1. It’s real. 
2. It’s us. 
3. Experts agree. 
4. It’s bad. 
5. Ther…",580765
1,RT @BOM_au: ICYMI: How has Aust. climate changed &amp; how will it change in the future? #StateoftheClimate @CSIROnewsÃ¢â‚¬Â¦,962529
2,"RT @WhySharksMatter: US federal department is censoring use of term 'climate change', emails reveal #a #feedly https://t.co/x7Xpp2FJ29",36220
-1,"RT @BrentBozell: If you rewrite history to fit the climate change agenda, you're not a journalist. You're a propagandist. https://t.co/T6s7…",119415
2,Trump to roll back use of climate change in policy reviews: source - Reuters https://t.co/3QFKbL0hHX,54145
0,@VP @POTUS While 86ing climate change monitoring/modeling.,399411
0,@MetroWaterworks talking about climate change programs with @RalucaEllis @TheFranklin https://t.co/j72wkJO02v,548810
1,"Donald Trump is about to undo Obama's legacy on climate change.
Big Business-1, Trees &amp; Air-0
https://t.co/g1Y7rh8GvA via @HuffPostPol",37657
1,Leonardo DiCaprio's fantastic new documentary on climate change is now free (legally) to watch https://t.co/gZ3ASSuD6e,391152
1,Add your sleep to the (long) list of things climate change might threaten. Recent research published in Science... https://t.co/zOlcJjtLdE,915562
2,Trump's energy staff can't use the words 'climate change': https://t.co/cUnUJ1su1e,663149
1,Colbert mocks Trump for idiotic climate change comments .. https://t.co/tVgRmyXZd9 #climatechange,114507
2,Google Новости: Climate change: Fresh doubt over global warming 'pause' - BBC News https://t.co/eNOol1r8K0,574015
1,Stopping global warming only way to save coral reefs https://t.co/NLFe5dlThH,29252
1,Here’s why the new EPA chief Pruitt is ‘absolutely wrong’ about CO2 and climate change - PRI https://t.co/9kiwn6cSV8,928636
1,RT @nytimesbusiness: A look at some long-shot engineering ideas to keep climate change from wrecking the planet https://t.co/Qxc489Z4bv htt…,598595
0,RT @Suh_shu: your mcm thinks global warming is a myth,586799
1,"RT @SenSchumer: Powerful article frm @KHayhoe: Everyone believes in global warming, they just dont realize it. Time to #ActOnClimate https:…",665471
2,RT @thinkprogress: EPA administrator Scott Pruitt did not mention climate change once in his first speech to the EPA…,387776
2,China delegate hits back at Trump's climate change hoax claims https://t.co/P8EIwDMMux,622396
1,RT @UN: Take action on climate change &amp; for the #GlobalGoals on #sustainableSunday &amp; every day https://t.co/7TOe7MJI94 https://t.co/SDojTXz…,543336
1,@glenmoraygcoull stands next to a map of the UK post global warming. Doesn't look good for cumbria. https://t.co/DciDTxVFuj,286927
1,"RT @open_migration: #Earthday �� here is why we need to listen to climate change refugees, NOW → https://t.co/zUAideOdrH #openmigration htt…",882980
1,"RT @AstroKatie: If you were going to be a single-issue voter, not making global warming even worse would be a good issue to choose. https:/Ã¢â‚¬Â¦",788429
2,RT @HuffingtonPost: Energy deptartment rejects Trump's attempt to single out staff working on climate change https://t.co/k9QcaWjNAY https:…,386474
0,@AliceMolero1  you mean the earth is cooling or heating?  define climate change?,788486
1,RT @frankieboyle: Let's look on the bright side. Maybe climate change will kill off humanity before a Global Fascist government can start tÃ¢â‚¬Â¦,539550
1,Physics DoesnÃ¢â‚¬â„¢t Really Care Who Was Elected: Donald Trump has said climate change is a ChineseÃ¢â‚¬Â¦Ã¢â‚¬Â¦ https://t.co/gUyIficwH7,289110
2,U.S. Energy Department closes office working on climate change abroad – “Ignorance is not diplomacy” https://t.co/oUYnsugLlB,175193
1,More evidence climate change has been warning since 1950's: https://t.co/hiLtB0kssg via @youtube,81297
1,"RT @JordanUhl: Trump is cutting the EPA's climate change budget to $29 million. MILLION. That's is.

Meanwhile: https://t.co/f31XN1MCEe",726147
-1,"@EladHutch So climate change is science, the colors of the rainbow (and abortion) are about choice, not science ��

#LiberalLogic",794039
0,"People who blame having kids for climate change associate having lots of kids with being poor/lower-class, it's not rocket science.",754215
1,RT @AltNatParkSer: Think about what happened for employees at #BadlandsNationalPark to actually DELETE factual tweets on climate change.,496608
2,"RT @MichaelEMann: 'In the age of Trump, a climate change libel suit heads to trial' by @ChelseaeHarvey of @WashingtonPost: https://t.co/ZaE…",412372
-1,"@TheEconomist @WMO don't tell the global warming people this! Nature at work on its own. Wow, what a concept! Yes,CO2 had left a print",421863
1,"RT @NYTnickc: Trump, who once called climate change a hoax by the Chinese, tells Michigan crowd: 'I'm an environmentalist.'",615949
1,RT @BuzzFeedNews: Trump falsely says “nobody really knows” what’s causing climate change https://t.co/YIX8EgzAHa https://t.co/el0JjcFE46,904554
-1,#QandA No point asking Liberal about anything to do with climate change or energy policy. They'll just tell you coal is cool.,519717
0,RT @o__positive: @Aashi_81 @IAmWithModiJi @LkoPrem Tum muskurae sheetal hawae chal gai sansar me ...Kaha hai global warming,466169
1,"Tackling climate change at the Pelosi Speier Joint Town Hall

#standindivisible #RESISTANCE #indivisible https://t.co/5pOWjb9w63",851108
1,RT @PTIofficial: And environment Pakistan is #7 most effected by global warming I am proud KP Gov planted 800M trees in 3 Years. 21/…,260227
1,RT @washingtonpost: The left and right agree: Fox News destroyed EPA chief Scott Pruitt over climate change https://t.co/mHkfKE9C5v,262782
-1,@CNN That damned global warming with all that snow and ice,898317
1,Republican Party's change from concern about global warming to calling it a hoax is a story abt big big big money: https://t.co/EMjubrN1JV,655730
2,Peru builds up wetland resilience to reinforce indigenous response to climate change https://t.co/x0XAxzKn2j https://t.co/58oYUWGVTz,555175
1,RT @bug_gwen: Read this *fantastic* piece on teaching kids climate change in conservative districts by @amy_harmon https://t.co/jBMzZ8WoOJ,790882
2,"RT @CBCNews: Trump win a 'disaster' in the fight against climate change, scientists and environmentalists sayÃ¢â‚¬Â¦",486005
2,RT @janpaulvansoest: Another US agency deletes references to climate change on government website https://t.co/wY9J5U79uu,315519
1,"RT @JPvanYpersele: The limit to fossil fuel usage is #climate change, not the so-called 'peak fossil fuel' in availability https://t.co/9Xd…",681954
0,@SInow @SIPeteThamel I guess global warming and sea rise came earlier than I thought now that Wichita is on the Atlantic Coast.,956682
1,"RT @AstroKatie: In case you were wondering: no, 4 years of US-led inaction on climate change will not go well for the planet. Now is when iÃ¢â‚¬Â¦",784951
1,"RT @c40cities: Fumiko Hayashi, Mayor of Yokohama, is a model leader fighting climate change #Women4Climate →…",828889
0,"RT @sirwilfreddeath: @alicewoolley1 @Bonn1eGreer BBC gives false equivalence to so many arguments, from politics to climate change, in effÃ¢â‚¬Â¦",263899
2,RT @pwihub: The U.N. gave Australia a poor score for climate change progress; it hasn't created adequate climate change policy. https://t.c…,2193
1,RT @sarahkendzior: First he asked for list of people who believe in climate change and women's rights. But now anti-terrorism experts?…,315797
2,"Rex Tillerson grilled on ExxonMobil conflicts, Russia sanctions and climate change at Senate confirmation hearing:… https://t.co/GsjiV86cuh",972448
2,"Donald Trump set to visit France for Bastille Day, Macron will bring up climate change, trade issues https://t.co/Fmv0B94fET",339910
1,RT @Aiannucci: The US elected Trump but the rest of the world didn't.So what do we do if US policies ( e.g. climate change) threaten the reÃ¢â‚¬Â¦,225508
-1,"RT @ELDOBLEEM: Any scientist out there Still want to defend climate change? Both hoax inventors have run...
��ok lets focus on pic…",321689
1,RT @foe_us: #ExxonKnew of the many risks of climate change and still spent years actively distorting the truth.…,822038
0,"@WIRED Media already accused of missing the boat with the American electorate. Cool it, with the harping climate change Trump predictions!",940946
2,RT @thehill: Federal court shuts down government-approved pipeline project over climate change concerns https://t.co/sqQ0Ij736s https://t.c…,861653
0,@BuyLottery Do you experience any effects of global warming there? overclock you indeed! I think I got a stain on my diodes Annealing new in,165444
1,RT @SustainableRein: We must work to elect representatives who believe in climate change and are willing to act! https://t.co/HnsYbj6xQb,358972
-1,"@Independent So climate change rapes women, WTF are you people insane. No criminals do that, the media today has some serious mental issues",65671
0,"RT @RobSilver: To be clear: any Premier fighting climate change, Kevin O'Leary is coming after you. 

A Senator poo pooing residen…",725928
0,"RT @LeoHickman: Theresa May's new chief of staff, Gavin Barwell, is known for his knowledgable concern about climate change https://t.co/25…",19654
0,"RT @TrevorGHouser: In the US, climate change has never experienced the level of media attention or public interest it received over th…",462262
1,RT @cnni: No snow where there should be. Bleached anemones. Cracks in the ice. This is what climate change looks like:Ã¢â‚¬Â¦,96341
1,We can chose to be on the right side of history on climate change or we can be catastrophically wrong. It's real. AÃ¢â‚¬Â¦ https://t.co/qB9uXqmcur,205010
1,I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood https://t.co/gcWYgXB8b7,990854
1,Tbh people who believe climate change isn't real are the ones that need free education the most,525415
1,RT @CNN: No snow where there should be. Bleached anemones. Cracks in the ice. This is what climate change looks like:Ã¢â‚¬Â¦,914252
-1,RT @TomiLahren: How to anger a Conservative: hurt American jobs. How to anger a Liberal: insult the climate change crusade. https://t.co/VY…,576494
0,RT @cracked: So glad Gore and Trump could find some middle ground between 'global warming is real' and 'it's a Chinese hoax designed to des…,534906
0,"Finally done with the UNCC: Introductory E-Course on climate change.
Thanks @UNITAR @uncclearn @ClimatEducate",393643
1,"RT @NatGeoChannel: Watch #BeforeTheFlood right here, as @LeoDiCaprio travels the world to tackle climate change https://t.co/LkDehj3tNn httÃ¢â‚¬Â¦",573242
1,"RT @schefferwill: climate change, much? https://t.co/lkaLpUkduG",216565
0,RT @NerylMcphee: @SkyNewsAust @billshortenmp Can we put Bill on a boat and set him adrift. He might find climate change,398851
0,RT @britneyspears: Does anyone think global warming is a good thing? I love Lady Gaga.  I think she's a really interesting artist.,43709
2,"RT @AVMAvets: Brazil risks rodent-borne Hantavirus rise due to sugarcane, climate change: scientists https://t.co/bYi83ON8mM",236200
2,RT @CNN: Kids are taking the feds -- and possibly Trump -- to court over climate change https://t.co/oGw21W7Skw,99549
1,RT @treesisters: Did you know that women's empowerment &amp; tropical reforestation both sit in the top 10 solutions to climate change?!…,990955
1,RT @JonRiley7: Trump's climate change denying EPA nominee Scott Pruitt cares more about the freedom to pollute than the freedom to…,519205
-1,"@RonColeman didn't even read it, going to assume it's about global warming
climate alarmists are anti-science, it has become a religion",598854
1,"RT @SarcasticRover: When someone tells you there’s no scientific consensus on climate change, they are LYING TO YOU:… ",181392
1,"RT @IndieWire: 'Age of Consequences' doc examines the ties between climate change and social conflict 
https://t.co/iFUECUSdvF https://t.coÃ¢â‚¬Â¦",923041
1,"RT @davrosz: We could have had the world's best NBN and action on climate change, but instead we got Abbott and Turnbull.",490923
1,Whenever it randomly snows like this I get v worried about global warming and the poor polar bears :((,166148
-1,RT @ClimateDepot: New report about Antarctica is horrible news for global warming alarmists – TheBlaze - https://t.co/vAX4A7dRhl,432857
0,From the blog: Environmentalism isn't just worrying about #climate change https://t.co/Rk4KHecDxB #MondayBlogs,408105
1,Ben nd Jerry's trying to raise awareness about global warming but they rely on animal agriculture for their entire… https://t.co/dy2bLjqJUt,254776
2,RT @StanLeeGee: Scott Pruitt’s office deluged with angry callers after he questions the science of global warming https://t.co/ucXpudhBep,140048
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,846584
2,RT @thehill: Sanders tears into EPA head for saying CO2 isn't a 'primary contributor' to climate change https://t.co/TsHil65ujN https://t.c…,668133
-1,RT @sean_spicier: The nice part about a nuclear arms race in the Middle East is we won't be around to really experience climate change's wr…,342419
2,RT @EarthDefendah: #Climatechange Belfast Telegraph Ellie Goulding urges action on climate change ahead of Earth Hour……,538530
0,"@MickMulvaney May a global warming-induced wave hit yr office and wash you out to sea. If not in Wash., often occurs n S Carolina. Why?God?",910135
2,RT @ClimateCentral: This key Atlantic current may be more likely to slow down (or collapse) with global warming https://t.co/smI475gtYo htt…,275198
0,"RT @irenesfist: i'm not saying that snsd 's comeback will end global warming, wars &amp; trump as president but that's exactly the case

https:…",517589
1,Smh at Donald Trump calling 'climate change a chinese hoax' when in reality it is happening now! @elliegoulding https://t.co/54RFJzdZWp,891060
2,"US federal department is censoring use of term 'climate change', emails reveal https://t.co/8AaISsFAB6 via @guardian https://t.co/yNaLU5KnB5",114160
1,"RT @GhostPanther: Bye bye bank regulations.
Bye bye dealing with climate change.
Bye bye health care.
Bye bye diplomacy.
#electionnight",935424
2,"RT @SafetyPinDaily: Trump's Environmental Protection Agency just deleted its climate change web page | By @willrworley 
https://t.co/290kIB…",531470
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change https://t.co/SjoFoNÃ¢â‚¬Â¦,964717
2,#Ankara #London #Berlin The Latest: China calls climate change ‘global consensus’ https://t.co/yluXVcrSx7 https://t.co/es6kmtebHE,871970
2,RT @Independent: US 'forces G20 to drop any mention of climate change' in joint statement https://t.co/49EE31bXXz,421897
1,RT @LiberalResist: How to communicate the urgency of climate change - https://t.co/06uhPGK1BQ https://t.co/9v7mC2J54f,829758
0,"RT @Chris_arnade: 1. Some quick thoughts on this @BretStephensNYT article on climate change &amp; certainty, by a PhD in physics (me!)

https:/…",227869
2,Doctors unite to say climate change is making us sick https://t.co/Ah674HgkwM https://t.co/5YnJjBfNaB,806935
0,"@RichardTol Your paper is interesting. But how can you say the trend is attributable to climate change, rather than more extreme weather?",82618
0,"... TragÃƒÂ©dia, tristeza! E Trump NEGA qualquer problema de 'climate change'! https://t.co/pImY78naH8",446787
0,RT @Fridaynitee: global warming never felt better,681707
